time,open,high,low,close,tick_volume,spread,real_volume
2024-08-12 12:00:00,2441.594,2460.771,2441.496,2459.865,41884,0,0
2024-08-12 16:00:00,2459.855,2472.279,2459.014,2470.558,23253,0,0
2024-08-12 20:00:00,2470.531,2476.118,2470.236,2475.621,8844,0,0
2024-08-13 00:00:00,2475.665,2477.048,2460.912,2463.529,27077,0,0
2024-08-13 04:00:00,2463.597,2466.261,2458.578,2464.345,22163,0,0
2024-08-13 08:00:00,2464.386,2466.692,2458.918,2465.853,21481,0,0
2024-08-13 12:00:00,2465.882,2475.762,2458.951,2468.712,43828,0,0
2024-08-13 16:00:00,2468.685,2471.171,2462.32,2466.996,20971,0,0
2024-08-13 20:00:00,2467.006,2467.924,2463.027,2464.144,8138,0,0
2024-08-14 00:00:00,2464.189,2472.574,2455.356,2460.877,29954,0,0
2024-08-14 04:00:00,2460.9,2471.987,2459.343,2470.934,23575,0,0
2024-08-14 08:00:00,2470.906,2478.874,2468.761,2474.78,24991,0,0
2024-08-14 12:00:00,2474.82,2480.172,2442.093,2444.109,83207,0,0
2024-08-14 16:00:00,2444.057,2448.534,2438.08,2447.284,26555,0,0
2024-08-14 20:00:00,2447.215,2449.567,2446.518,2449.493,7638,0,0
2024-08-15 00:00:00,2449.48,2454.421,2448.295,2453.766,25029,0,0
2024-08-15 04:00:00,2453.794,2458.859,2450.365,2455.795,23677,0,0
2024-08-15 08:00:00,2455.785,2464.232,2453.616,2463.618,21915,0,0
2024-08-15 12:00:00,2463.665,2470.179,2432.179,2458.424,87837,0,0
2024-08-15 16:00:00,2458.479,2461.715,2453.485,2455.651,23413,0,0
2024-08-15 20:00:00,2455.605,2458.344,2454.481,2457.383,7787,0,0
2024-08-16 00:00:00,2457.394,2460.142,2450.785,2452.549,21164,0,0
2024-08-16 04:00:00,2452.505,2464.594,2451.154,2462.068,20368,0,0
2024-08-16 08:00:00,2462.137,2472.399,2459.194,2472.198,22998,0,0
2024-08-16 12:00:00,2472.159,2500.604,2471.336,2491.776,64361,0,0
2024-08-16 16:00:00,2491.815,2509.083,2491.736,2507.947,26108,0,0
2024-08-16 20:00:00,2508.0,2509.867,2505.624,2507.905,4248,0,0
2024-08-18 20:00:00,2506.548,2506.865,2502.358,2506.501,7373,4,0
2024-08-19 00:00:00,2506.507,2506.859,2495.021,2503.307,31708,4,0
2024-08-19 04:00:00,2503.288,2505.271,2498.855,2503.08,24459,4,0
2024-08-19 08:00:00,2503.033,2507.268,2486.571,2494.478,24543,4,0
2024-08-19 12:00:00,2494.503,2506.035,2485.702,2504.022,41630,4,0
2024-08-19 16:00:00,2503.985,2507.57,2500.721,2505.525,20477,4,0
2024-08-19 20:00:00,2505.589,2505.724,2502.131,2503.632,6382,4,0
2024-08-20 00:00:00,2503.642,2508.376,2498.72,2501.865,22158,4,0
2024-08-20 04:00:00,2501.877,2515.31,2497.37,2514.965,22084,4,0
2024-08-20 08:00:00,2514.992,2527.259,2514.381,2526.311,29226,4,0
2024-08-20 12:00:00,2526.354,2531.755,2505.847,2508.606,56704,4,0
2024-08-20 16:00:00,2508.637,2515.609,2500.917,2515.041,25994,0,0
2024-08-20 20:00:00,2515.084,2517.027,2512.814,2513.054,7084,0,0
2024-08-21 00:00:00,2513.066,2520.032,2510.866,2517.476,22783,0,0
2024-08-21 04:00:00,2517.523,2519.707,2508.149,2509.841,22351,0,0
2024-08-21 08:00:00,2509.813,2513.411,2504.508,2511.913,21833,0,0
2024-08-21 12:00:00,2511.871,2513.823,2493.759,2508.5,57846,0,0
2024-08-21 16:00:00,2508.459,2519.257,2503.141,2511.649,25185,0,0
2024-08-21 20:00:00,2511.603,2514.514,2509.849,2512.873,7338,0,0
2024-08-22 00:00:00,2512.822,2514.791,2499.942,2502.419,23446,0,0
2024-08-22 04:00:00,2502.434,2510.687,2499.274,2507.192,23545,0,0
2024-08-22 08:00:00,2507.194,2509.212,2498.151,2499.534,23910,0,0
2024-08-22 12:00:00,2499.592,2504.271,2470.891,2481.884,58533,0,0
2024-08-22 16:00:00,2481.932,2486.04,2478.581,2483.073,23843,0,0
2024-08-22 20:00:00,2483.111,2487.672,2482.463,2487.654,6697,0,0
2024-08-23 00:00:00,2487.664,2493.843,2486.559,2493.26,22979,0,0
2024-08-23 04:00:00,2493.243,2495.844,2490.63,2493.474,20398,0,0
2024-08-23 08:00:00,2493.428,2502.592,2493.081,2501.661,21266,0,0
2024-08-23 12:00:00,2501.647,2518.44,2494.543,2509.935,63322,0,0
2024-08-23 16:00:00,2509.974,2513.332,2501.796,2510.862,26798,0,0
2024-08-23 20:00:00,2510.835,2512.55,2509.622,2512.447,3097,0,0
2024-08-25 20:00:00,2512.147,2516.763,2511.148,2515.997,7415,0,0
2024-08-26 00:00:00,2515.983,2517.081,2509.41,2509.849,23813,0,0
2024-08-26 04:00:00,2509.819,2521.9,2508.726,2521.488,23382,0,0
2024-08-26 08:00:00,2521.492,2526.986,2520.782,2526.613,24232,0,0
2024-08-26 12:00:00,2526.547,2527.089,2510.658,2515.862,47547,0,0
2024-08-26 16:00:00,2515.867,2523.471,2513.598,2518.249,21735,0,0
